category	term	number_of_genes	number_of_genes_in_background	ncbiTaxonId	inputGenes	preferredNames	p_value	fdr	description
COMPARTMENTS	GOCC:0005783	12	1095	9606	CYP51A1,TMEM97,SQLE,SIGMAR1,HSD3B7,ITPR1,HSPA5,LBR,DHCR7,HSD3B1,NSDHL,ITPR3	CYP51A1,TMEM97,SQLE,SIGMAR1,HSD3B7,ITPR1,HSPA5,LBR,DHCR7,HSD3B1,NSDHL,ITPR3	4.27e-09	9.83e-06	Endoplasmic reticulum
COMPARTMENTS	GOCC:0016021	12	1507	9606	ERG28,SQLE,SIGMAR1,HSPA9,ITPR1,HSPA5,KCNA4,LBR,DRD2,ITPR3,VDAC1,OPRM1	ERG28,SQLE,SIGMAR1,HSPA9,ITPR1,HSPA5,KCNA4,LBR,DRD2,ITPR3,VDAC1,OPRM1	1.45e-07	0.00017	Integral component of membrane
COMPARTMENTS	GOCC:0042175	8	560	9606	SQLE,HSD3B7,ITPR1,HSPA5,LBR,DHCR7,HSD3B1,ITPR3	SQLE,HSD3B7,ITPR1,HSPA5,LBR,DHCR7,HSD3B1,ITPR3	4.45e-07	0.00026	Nuclear outer membrane-endoplasmic reticulum membrane network
COMPARTMENTS	GOCC:0016020	20	5715	9606	CYP51A1,TMEM97,ERG28,SQLE,SIGMAR1,TM7SF2,HSPA9,HSD3B7,ITPR1,HSPA5,KCNA4,LBR,DHCR7,ANK2,DRD2,HSD3B1,ITPR3,VDAC1,OPRM1,KCNH6	CYP51A1,TMEM97,ERG28,SQLE,SIGMAR1,TM7SF2,HSPA9,HSD3B7,ITPR1,HSPA5,KCNA4,LBR,DHCR7,ANK2,DRD2,HSD3B1,ITPR3,VDAC1,OPRM1,KCNH6	6.05e-07	0.00028	Membrane
COMPARTMENTS	GOCC:0012505	15	3156	9606	CYP51A1,TMEM97,SQLE,SIGMAR1,TM7SF2,TMBIM4,HSD3B7,ITPR1,HSPA5,LBR,DHCR7,HSD3B1,NSDHL,ITPR3,OPRM1	CYP51A1,TMEM97,SQLE,SIGMAR1,TM7SF2,TMBIM4,HSD3B7,ITPR1,HSPA5,LBR,DHCR7,HSD3B1,NSDHL,ITPR3,OPRM1	1.56e-06	0.0006	Endomembrane system
COMPARTMENTS	GOCC:0031090	13	2290	9606	TMEM97,SQLE,TM7SF2,HSPA9,HSD3B7,ITPR1,HSPA5,LBR,DHCR7,DRD2,HSD3B1,ITPR3,VDAC1	TMEM97,SQLE,TM7SF2,HSPA9,HSD3B7,ITPR1,HSPA5,LBR,DHCR7,DRD2,HSD3B1,ITPR3,VDAC1	1.72e-06	0.0006	Organelle membrane
COMPARTMENTS	GOCC:0031984	8	739	9606	SQLE,TMBIM4,HSD3B7,ITPR1,HSPA5,LBR,HSD3B1,ITPR3	SQLE,TMBIM4,HSD3B7,ITPR1,HSPA5,LBR,HSD3B1,ITPR3	3.47e-06	0.0009	Organelle subcompartment
COMPARTMENTS	GOCC:0098827	7	502	9606	SQLE,HSD3B7,ITPR1,HSPA5,LBR,HSD3B1,ITPR3	SQLE,HSD3B7,ITPR1,HSPA5,LBR,HSD3B1,ITPR3	3.14e-06	0.0009	Endoplasmic reticulum subcompartment
COMPARTMENTS	GOCC:0005789	7	538	9606	SQLE,HSD3B7,ITPR1,HSPA5,LBR,HSD3B1,ITPR3	SQLE,HSD3B7,ITPR1,HSPA5,LBR,HSD3B1,ITPR3	4.93e-06	0.0011	Endoplasmic reticulum membrane
COMPARTMENTS	GOCC:0031967	8	832	9606	TMEM97,SIGMAR1,TM7SF2,HSPA9,LBR,DHCR7,HSD3B1,VDAC1	TMEM97,SIGMAR1,TM7SF2,HSPA9,LBR,DHCR7,HSD3B1,VDAC1	8.25e-06	0.0017	Organelle envelope
COMPARTMENTS	GOCC:0005635	5	313	9606	TMEM97,SIGMAR1,TM7SF2,LBR,DHCR7	TMEM97,SIGMAR1,TM7SF2,LBR,DHCR7	5.26e-05	0.0093	Nuclear envelope
