stringId_A	stringId_B	preferredName_A	preferredName_B	ncbiTaxonId	score	nscore	fscore	pscore	ascore	escore	dscore	tscore
9606.ENSP00000277010	9606.ENSP00000324173	SIGMAR1	HSPA5	9606	0.992	0	0	0	0.042	0.113	0	0.992
9606.ENSP00000277010	9606.ENSP00000003100	SIGMAR1	CYP51A1	9606	0.985	0	0	0	0.145	0.954	0	0.66
9606.ENSP00000277010	9606.ENSP00000256319	SIGMAR1	ERG28	9606	0.983	0	0	0	0.144	0.954	0	0.615
9606.ENSP00000277010	9606.ENSP00000265896	SIGMAR1	SQLE	9606	0.974	0	0	0	0.136	0.954	0	0.418
9606.ENSP00000277010	9606.ENSP00000463533	SIGMAR1	KCNH6	9606	0.944	0	0	0	0	0	0	0.944
9606.ENSP00000277010	9606.ENSP00000226230	SIGMAR1	TMEM97	9606	0.943	0	0	0	0.131	0	0	0.937
9606.ENSP00000277010	9606.ENSP00000306253	SIGMAR1	ITPR1	9606	0.938	0	0	0	0.063	0	0	0.937
9606.ENSP00000277010	9606.ENSP00000363435	SIGMAR1	ITPR3	9606	0.934	0	0	0	0.049	0.292	0	0.91
9606.ENSP00000277010	9606.ENSP00000328511	SIGMAR1	KCNA4	9606	0.917	0	0	0	0	0.091	0	0.913
9606.ENSP00000277010	9606.ENSP00000261507	SIGMAR1	MSMO1	9606	0.893	0	0	0	0.239	0.782	0.139	0.34
9606.ENSP00000277010	9606.ENSP00000347717	SIGMAR1	DHCR7	9606	0.891	0	0	0	0.244	0.782	0	0.393
9606.ENSP00000277010	9606.ENSP00000360918	SIGMAR1	CH25H	9606	0.888	0	0	0	0.236	0.782	0.139	0.314
9606.ENSP00000277010	9606.ENSP00000320604	SIGMAR1	FAXDC2	9606	0.888	0	0	0	0.236	0.782	0.139	0.314
9606.ENSP00000277010	9606.ENSP00000279263	SIGMAR1	TM7SF2	9606	0.886	0	0	0	0.201	0.782	0	0.399
9606.ENSP00000277010	9606.ENSP00000339883	SIGMAR1	LBR	9606	0.884	0	0	0	0.199	0.782	0	0.394
9606.ENSP00000277010	9606.ENSP00000286424	SIGMAR1	TMBIM4	9606	0.876	0	0	0	0	0	0	0.876
9606.ENSP00000277010	9606.ENSP00000264027	SIGMAR1	SC5D	9606	0.869	0	0	0	0.55	0.476	0.172	0.409
9606.ENSP00000277010	9606.ENSP00000378487	SIGMAR1	VDAC1	9606	0.848	0	0	0	0.074	0	0	0.842
9606.ENSP00000277010	9606.ENSP00000349588	SIGMAR1	ANK2	9606	0.838	0	0	0	0	0.3	0	0.779
9606.ENSP00000277010	9606.ENSP00000394624	SIGMAR1	OPRM1	9606	0.805	0	0	0	0	0.292	0	0.736
9606.ENSP00000277010	9606.ENSP00000297185	SIGMAR1	HSPA9	9606	0.77	0	0	0	0.056	0.091	0	0.754
9606.ENSP00000277010	9606.ENSP00000359297	SIGMAR1	NSDHL	9606	0.764	0	0	0	0.148	0.619	0	0.333
9606.ENSP00000277010	9606.ENSP00000358421	SIGMAR1	HSD3B1	9606	0.749	0	0	0	0.13	0.619	0	0.304
9606.ENSP00000277010	9606.ENSP00000297679	SIGMAR1	HSD3B7	9606	0.744	0	0	0	0.136	0.619	0	0.284
9606.ENSP00000277010	9606.ENSP00000354859	SIGMAR1	DRD2	9606	0.736	0	0	0	0	0.331	0	0.622
