partner,combined_score,confidence,experimental,database,textmining,physical_evidence
HSPA5,0.992,highest,0.113,0.0,0.992,True
CYP51A1,0.985,highest,0.954,0.0,0.66,True
ERG28,0.983,highest,0.954,0.0,0.615,True
SQLE,0.974,highest,0.954,0.0,0.418,True
KCNH6,0.944,highest,0.0,0.0,0.944,False
TMEM97,0.943,highest,0.0,0.0,0.937,False
ITPR1,0.938,highest,0.0,0.0,0.937,False
ITPR3,0.934,highest,0.292,0.0,0.91,True
KCNA4,0.917,highest,0.091,0.0,0.913,True
MSMO1,0.893,high,0.782,0.139,0.34,True
DHCR7,0.891,high,0.782,0.0,0.393,True
CH25H,0.888,high,0.782,0.139,0.314,True
FAXDC2,0.888,high,0.782,0.139,0.314,True
TM7SF2,0.886,high,0.782,0.0,0.399,True
LBR,0.884,high,0.782,0.0,0.394,True
TMBIM4,0.876,high,0.0,0.0,0.876,False
SC5D,0.869,high,0.476,0.172,0.409,True
VDAC1,0.848,high,0.0,0.0,0.842,False
ANK2,0.838,high,0.3,0.0,0.779,True
OPRM1,0.805,high,0.292,0.0,0.736,True
HSPA9,0.77,high,0.091,0.0,0.754,True
NSDHL,0.764,high,0.619,0.0,0.333,True
HSD3B1,0.749,high,0.619,0.0,0.304,True
HSD3B7,0.744,high,0.619,0.0,0.284,True
DRD2,0.736,high,0.331,0.0,0.622,True
