target,tm_score_query_normalised,tm_score_alignment_normalised,lddt,identity,alignment_length,evalue,interpretation
Q08431,0.1703,0.3319,0.2486,0.084,118,0.05899,indistinguishable from random structure pairs
P01024,0.1653,0.5369,0.3556,0.067,59,20.03,indistinguishable from random structure pairs
P02751,0.1608,0.2848,0.2457,0.101,178,1.223,indistinguishable from random structure pairs
P02747,0.1583,0.3318,0.2868,0.084,83,0.02566,indistinguishable from random structure pairs
P47929,0.153,0.2992,0.2049,0.105,133,3.783,indistinguishable from random structure pairs
P01023,0.1475,0.3687,0.2417,0.125,72,0.675,indistinguishable from random structure pairs
P63104,0.1329,0.6522,0.3485,0.142,35,14.57,indistinguishable from random structure pairs
P02746,0.1328,0.2539,0.234,0.088,90,0.02279,indistinguishable from random structure pairs
P02745,0.1323,0.238,0.2151,0.115,104,0.01257,indistinguishable from random structure pairs
P61278,0.131,0.3917,0.3937,0.253,67,15.4,indistinguishable from random structure pairs
P04264,0.1304,0.448,0.4488,0.229,61,10.33,indistinguishable from random structure pairs
P01236,0.1272,0.7204,0.3826,0.133,30,22.99,indistinguishable from random structure pairs
P62258,0.1229,0.3382,0.3085,0.191,47,14.57,indistinguishable from random structure pairs
P27348,0.1211,0.402,0.3196,0.146,41,27.19,indistinguishable from random structure pairs
P02768,0.1205,0.4114,0.2803,0.177,45,18.1,indistinguishable from random structure pairs
P10909,0.1201,0.5437,0.352,0.2,45,14.57,indistinguishable from random structure pairs
P69905,0.1197,0.3975,0.314,0.069,43,15.4,indistinguishable from random structure pairs
P61981,0.1195,0.4024,0.3257,0.2,40,9.191,indistinguishable from random structure pairs
P02788,0.1182,0.1782,0.2186,0.131,145,14.57,indistinguishable from random structure pairs
P10092,0.118,0.3473,0.3563,0.173,69,15.4,indistinguishable from random structure pairs
P04156,0.1159,0.3308,0.2892,0.132,53,29.11,indistinguishable from random structure pairs
P0DOX8,0.1153,0.2426,0.186,0.123,97,19.05,indistinguishable from random structure pairs
P81605,0.1148,0.6623,0.5693,0.156,32,22.99,indistinguishable from random structure pairs
Q9Y6H5,0.1135,0.4426,0.2546,0.184,38,20.03,indistinguishable from random structure pairs
P06727,0.1129,0.5959,0.3654,0.058,34,16.27,indistinguishable from random structure pairs
P00441,0.1124,0.2175,0.2044,0.084,107,11.6,indistinguishable from random structure pairs
