accession,coverage_percent,identity_percent,aligned_residues
sp|Q99720|SGMR1_HUMAN,100.0,100.0,223
sp|P61769|B2MG_HUMAN,1.79,25.0,4
sp|P42858|HD_HUMAN,79.82,23.03,178
sp|Q9Y287|ITM2B_HUMAN,46.19,16.5,103
sp|P01023|A2MG_HUMAN,80.72,16.11,180
sp|P02743|SAMP_HUMAN,28.25,14.29,63
sp|P10997|IAPP_HUMAN,3.14,14.29,7
sp|P0DJI8|SAA1_HUMAN,6.73,13.33,15
sp|P0DJI9|SAA2_HUMAN,6.73,13.33,15
sp|P02768|ALBU_HUMAN,34.08,13.16,76
sp|P98160|PGBM_HUMAN,88.79,13.13,198
sp|P01160|ANF_HUMAN,3.59,12.5,8
sp|O75923|DYSF_HUMAN,56.95,11.02,127
sp|P01258|CALC_HUMAN,4.48,10.0,10
sp|P07339|CATD_HUMAN,4.48,10.0,10
sp|P46821|MAP1B_HUMAN,55.61,8.06,124
sp|P02751|FINC_HUMAN,45.29,7.92,101
sp|P05067|A4_HUMAN,5.83,7.69,13
sp|P01024|CO3_HUMAN,37.22,7.23,83
sp|O00468|AGRIN_HUMAN,20.18,6.67,45
sp|P68104|EF1A1_HUMAN,6.73,6.67,15
sp|P07858|CATB_HUMAN,39.91,5.62,89
sp|P04279|SEMG1_HUMAN,16.14,5.56,36
sp|Q15517|CDSN_HUMAN,17.94,5.0,40
sp|P47929|LEG7_HUMAN,19.28,4.65,43
sp|P01236|PRL_HUMAN,9.87,4.55,22
sp|P25391|LAMA1_HUMAN,32.74,4.11,73
sp|P06396|GELS_HUMAN,12.11,3.7,27
sp|Q15582|BGH3_HUMAN,14.35,3.12,32
sp|A1E959|ODAM_HUMAN,0.0,0.0,0
sp|O14960|LECT2_HUMAN,0.0,0.0,0
sp|O75056|SDC3_HUMAN,3.14,0.0,7
sp|P00441|SODC_HUMAN,0.0,0.0,0
sp|P01009|A1AT_HUMAN,0.0,0.0,0
sp|P01011|AACT_HUMAN,0.0,0.0,0
sp|P01034|CYTC_HUMAN,0.0,0.0,0
sp|P01308|INS_HUMAN,0.0,0.0,0
sp|P02533|K1C14_HUMAN,0.0,0.0,0
sp|P02647|APOA1_HUMAN,0.0,0.0,0
sp|P02649|APOE_HUMAN,0.0,0.0,0
sp|P02652|APOA2_HUMAN,0.0,0.0,0
sp|P02655|APOC2_HUMAN,0.0,0.0,0
sp|P02656|APOC3_HUMAN,0.0,0.0,0
sp|P02671|FIBA_HUMAN,0.0,0.0,0
sp|P02745|C1QA_HUMAN,0.0,0.0,0
sp|P02746|C1QB_HUMAN,0.0,0.0,0
sp|P02747|C1QC_HUMAN,0.0,0.0,0
sp|P02748|CO9_HUMAN,2.69,0.0,6
sp|P02766|TTHY_HUMAN,2.24,0.0,5
sp|P02788|TRFL_HUMAN,3.14,0.0,7
sp|P04156|PRIO_HUMAN,0.0,0.0,0
sp|P04264|K2C1_HUMAN,0.9,0.0,2
sp|P05060|SCG1_HUMAN,0.0,0.0,0
sp|P05231|IL6_HUMAN,0.0,0.0,0
sp|P06727|APOA4_HUMAN,0.0,0.0,0
sp|P0DOX5|IGG1_HUMAN,2.24,0.0,5
sp|P10092|CALCB_HUMAN,0.0,0.0,0
sp|P10636|TAU_HUMAN,0.0,0.0,0
sp|P10909|CLUS_HUMAN,0.0,0.0,0
sp|P13647|K2C5_HUMAN,0.0,0.0,0
sp|P18827|SDC1_HUMAN,3.14,0.0,7
sp|P25311|ZA2G_HUMAN,1.79,0.0,4
sp|P27348|1433T_HUMAN,0.0,0.0,0
sp|P34741|SDC2_HUMAN,1.35,0.0,3
sp|P35052|GPC1_HUMAN,2.69,0.0,6
sp|P37840|SYUA_HUMAN,1.35,0.0,3
sp|P60709|ACTB_HUMAN,7.17,0.0,16
sp|P61278|SMS_HUMAN,0.0,0.0,0
sp|P61626|LYSC_HUMAN,0.0,0.0,0
sp|P61981|1433G_HUMAN,0.0,0.0,0
sp|P62258|1433E_HUMAN,0.0,0.0,0
sp|P62736|ACTA_HUMAN,7.17,0.0,16
sp|P63104|1433Z_HUMAN,0.0,0.0,0
sp|P63261|ACTG_HUMAN,7.17,0.0,16
sp|P68871|HBB_HUMAN,6.73,0.0,15
sp|P69905|HBA_HUMAN,6.73,0.0,15
sp|P81605|DCD_HUMAN,0.0,0.0,0
sp|Q08431|MFGM_HUMAN,0.0,0.0,0
sp|Q9GZZ8|LACRT_HUMAN,0.0,0.0,0
sp|Q9Y6H5|SNCAP_HUMAN,0.0,0.0,0
sp|P0DOX4|IGE_HUMAN,1.79,0.0,4
sp|P0DOX6|IGM_HUMAN,2.24,0.0,5
sp|P0DOX2|IGA2_HUMAN,2.24,0.0,5
sp|P0DOX7|IGK_HUMAN,0.0,0.0,0
sp|P0DOX8|IGL1_HUMAN,0.0,0.0,0
