subject,cosine_similarity
ITM2B_HUMAN,0.9543
AGRIN_HUMAN,0.9518
CO9_HUMAN,0.9502
GPC1_HUMAN,0.95
PGBM_HUMAN,0.9491
CLUS_HUMAN,0.948
APOC3_HUMAN,0.9479
LAMA1_HUMAN,0.9477
HD_HUMAN,0.947
FIBA_HUMAN,0.945
SDC2_HUMAN,0.9415
APOA4_HUMAN,0.9408
FINC_HUMAN,0.9407
DCD_HUMAN,0.94
IL6_HUMAN,0.9394
APOA2_HUMAN,0.938
APOC2_HUMAN,0.9378
A4_HUMAN,0.9376
TTHY_HUMAN,0.937
ALBU_HUMAN,0.9367
APOA1_HUMAN,0.9349
K1C14_HUMAN,0.9335
SAMP_HUMAN,0.9332
IGM_HUMAN,0.932
PRIO_HUMAN,0.9307
EF1A1_HUMAN,0.9302
PRL_HUMAN,0.9299
APOE_HUMAN,0.9289
1433G_HUMAN,0.9287
LACRT_HUMAN,0.9284
DYSF_HUMAN,0.9283
CATB_HUMAN,0.9281
CALC_HUMAN,0.9254
SYUA_HUMAN,0.9253
SAA1_HUMAN,0.9253
BGH3_HUMAN,0.9244
ANF_HUMAN,0.9243
IGE_HUMAN,0.923
1433Z_HUMAN,0.9228
1433T_HUMAN,0.9226
C1QB_HUMAN,0.9207
MAP1B_HUMAN,0.9204
SMS_HUMAN,0.9198
SDC1_HUMAN,0.9198
C1QA_HUMAN,0.9193
1433E_HUMAN,0.9193
SDC3_HUMAN,0.9193
IGA2_HUMAN,0.9185
SAA2_HUMAN,0.9185
LECT2_HUMAN,0.9178
K2C5_HUMAN,0.917
HBB_HUMAN,0.9163
ZA2G_HUMAN,0.9149
A2MG_HUMAN,0.9137
IAPP_HUMAN,0.913
K2C1_HUMAN,0.912
ODAM_HUMAN,0.9119
TRFL_HUMAN,0.9109
TAU_HUMAN,0.9105
SNCAP_HUMAN,0.9095
C1QC_HUMAN,0.9088
CATD_HUMAN,0.9069
CDSN_HUMAN,0.902
SCG1_HUMAN,0.9007
SEMG1_HUMAN,0.8943
B2MG_HUMAN,0.89
SODC_HUMAN,0.8881
CO3_HUMAN,0.8862
IGL1_HUMAN,0.8705
CYTC_HUMAN,0.8685
MFGM_HUMAN,0.8622
INS_HUMAN,0.8529
CALCB_HUMAN,0.8505
IGK_HUMAN,0.8419
HBA_HUMAN,0.8384
GELS_HUMAN,0.8169
ACTA_HUMAN,0.8131
ACTB_HUMAN,0.8004
ACTG_HUMAN,0.7953
LYSC_HUMAN,0.7949
AACT_HUMAN,0.7878
LEG7_HUMAN,0.7666
A1AT_HUMAN,0.7555
IGG1_HUMAN,0.6385
